,0
City_Tier_Tier_3,-472.6892702028108
City_Tier_Tier_2,-27.019879251055972
Occupation_Retired,-13.450224730816592
Occupation_Student,-6.866464608717279
Age,-1.1740602598850172
total_expenses,-0.18285081081576854
Miscellaneous,-0.1822534473705659
Groceries,-0.16479809406204723
Rent,-0.09783381394312878
Loan_Repayment,-0.05162820518328632
Transport,-0.03728113125442556
Insurance,-0.018241085621288327
Eating_Out,-0.008872930274403026
Healthcare,0.015356400934437001
Education,0.06657128942792861
Entertainment,0.12503722603788248
Utilities,0.1710929803179078
Income,0.32165173257821866
Occupation_Professional,2.990311635216127
Occupation_Self_Employed,17.32637770431801
Dependents,18.001808276800855
Desired_Savings_Percentage,336.89584117629624
City_Tier_Tier_1,499.7091494538664
