,0
monthly_income,0.364195331457866
monthly_expense_total,0.2063742315377165
budget_goal,0.09306823536936965
loan_payment,0.026987162997659412
emergency_fund,0.026421899315130535
investment_amount,0.025710889863480697
credit_score,0.024969508322383656
financial_advice_score,0.024333723039657272
essential_spending,0.02405331380226674
discretionary_spending,0.023823128144506187
transaction_count,0.02367460334227377
rent_or_mortgage,0.022832711533899
debt_to_income_ratio,0.022006343068651943
savings_rate,0.020433883800214814
subscription_services,0.012306943318202639
category_Groceries,0.0033949328502423967
cash_flow_status_Neutral,0.003254726201556003
income_type_Salary,0.0031587306746126307
financial_stress_level_Low,0.003113403191011451
category_Healthcare,0.0031085655081242005
