,0
monthly_income,0.6177796
monthly_expense_total,0.36599216
budget_goal,0.0017816037
rent_or_mortgage,0.0012060297
category_Healthcare,0.0012045598
financial_stress_level_Medium,0.0010292006
discretionary_spending,0.000778318
financial_advice_score,0.00067870284
credit_score,0.0006657096
savings_rate,0.0006376851
transaction_count,0.00063473196
debt_to_income_ratio,0.0005473699
essential_spending,0.00047921552
category_Groceries,0.00046517732
emergency_fund,0.00046116603
loan_payment,0.0004547063
category_Insurance,0.00039883557
investment_amount,0.0003969899
category_Transportation,0.00035885832
category_Rent,0.00033730842
subscription_services,0.00032222536
financial_scenario_recession,0.00032173304
category_Investments,0.00031750946
category_Utilities,0.00030301712
category_Dining Out,0.00029694784
income_type_Freelance,0.00026715617
financial_stress_level_Low,0.00026192318
financial_scenario_inflation,0.00025137715
cash_flow_status_Negative,0.00023409796
income_type_Salary,0.0002049773
financial_scenario_normal,0.00019479421
cash_flow_status_Positive,0.00019072797
cash_flow_status_Neutral,0.00017103617
financial_stress_level_High,0.00016217261
category_Entertainment,0.00014886864
category_Education,6.355438e-05
income_type_Mixed,0.0
fraud_flag,0.0
